"x","y","group"
1,0.0791739130434783,"zscore transformation"
6,0.0491391304347826,"zscore transformation"
11,0.0495478260869565,"zscore transformation"
16,0.0506260869565217,"zscore transformation"
21,0.0521478260869565,"zscore transformation"
26,0.0536608695652174,"zscore transformation"
31,0.0540521739130435,"zscore transformation"
36,0.054,"zscore transformation"
41,0.0560347826086956,"zscore transformation"
46,0.0551304347826087,"zscore transformation"
51,0.0565913043478261,"zscore transformation"
1,0.079,"log(x+0.1) transformation"
6,0.0482086956521739,"log(x+0.1) transformation"
11,0.0478695652173913,"log(x+0.1) transformation"
16,0.0497391304347826,"log(x+0.1) transformation"
21,0.0519217391304348,"log(x+0.1) transformation"
26,0.0531739130434783,"log(x+0.1) transformation"
31,0.0539913043478261,"log(x+0.1) transformation"
36,0.0556695652173913,"log(x+0.1) transformation"
41,0.0562869565217391,"log(x+0.1) transformation"
46,0.0558173913043478,"log(x+0.1) transformation"
51,0.0557913043478261,"log(x+0.1) transformation"
